"","mz","VIP"
"439.16373","439.16373",0.231618126314035
"383.11578","383.11578",0.231221613111679
"304.90247","304.90247",0.230746887974666
"162.02847","162.02847",0.228301672746927
"901.56228","901.56228",0.228220273121532
"348.04820","348.04820",0.228157112007852
"364.10861","364.10861",0.22804179327872
"152.99766","152.99766",0.227947646151861
"273.05563","273.05563",0.227932049441254
"469.23863","469.23863",0.227335870442261
"549.17449","549.17449",0.227298463552104
"120.03949","120.03949",0.227101563308226
"365.21128","365.21128",0.227061000783723
"874.49085","874.49085",0.226170574889729
"693.46557","693.46557",0.225123991823244
"386.24176","386.24176",0.223835579856958
"945.75399","945.75399",0.222306831149483
"221.15622","221.15622",0.221534406874599
"165.01573","165.01573",0.221318994283217
"692.20923","692.20923",0.220169651945222
"504.17593","504.17593",0.218914924052064
"217.11947","217.11947",0.218514595180284
"211.17281","211.17281",0.217982185493597
"836.45609","836.45609",0.215248525684564
"174.02226","174.02226",0.214465403567088
"881.54779","881.54779",0.214099702408783
"684.53944","684.53944",0.213649897437877
"961.48371","961.48371",0.213148760156363
"449.28228","449.28228",0.212756193785898
"289.03939","289.03939",0.21251944623943
"190.97001","190.97001",0.212503645769145
"445.18911","445.18911",0.212151271997949
"630.48819","630.48819",0.212118117138341
"423.24845","423.24845",0.212102590651354
"318.00629","318.00629",0.211344857032332
"894.58657","894.58657",0.210582174083722
"281.98153","281.98153",0.210328370979367
"313.10380","313.10380",0.21027068091567
"128.05521","128.05521",0.209693754352331
"169.99249","169.99249",0.20953992612993
"379.17189","379.17189",0.209139149139222
"923.77718","923.77718",0.208460208046749
"648.38048","648.38048",0.208333069135226
"860.55901","860.55901",0.208077630461932
"72.99403","72.99403",0.207951210105219
"730.51815","730.51815",0.207240699031802
"263.03630","263.03630",0.207208277870811
"453.08018","453.08018",0.206939469356272
"237.15277","237.15277",0.206507109497151
"769.56295","769.56295",0.206095986119008
"211.08403","211.08403",0.205284224506077
"539.92014","539.92014",0.204680216506773
"776.54624","776.54624",0.204598122068649
"371.18034","371.18034",0.204304147355918
"400.00639","400.00639",0.203958525099325
"443.01767","443.01767",0.203728846668265
"291.23695","291.23695",0.201704032781556
"333.21153","333.21153",0.201213119186081
"388.92422","388.92422",0.201007853240373
"83.05012","83.05012",0.200891163716145
"298.99916","298.99916",0.199983507411264
"384.99492","384.99492",0.198664719266269
"350.21050","350.21050",0.198473877385088
"691.47620","691.47620",0.197824011053564
"619.29701","619.29701",0.197689046862213
"525.30691","525.30691",0.197531856780614
"609.51452","609.51452",0.196960957093728
"215.13279","215.13279",0.19691332198874
"541.32532","541.32532",0.196342240302485
"631.19851","631.19851",0.196109572995861
"305.25031","305.25031",0.195543171013085
"431.09540","431.09540",0.195021768574445
"357.28414","357.28414",0.194681751334744
"437.30500","437.30500",0.194229364009068
"291.10087","291.10087",0.193777845058116
"813.51669","813.51669",0.193526072488521
"316.11724","316.11724",0.192946423974823
"367.36479","367.36479",0.192480808851414
"581.47009","581.47009",0.191981324030032
"228.90860","228.90860",0.191397656761924
"309.08585","309.08585",0.191314885857115
