"","PC1","PC2","var"
"160.06407",0.00780111165087168,-0.0353831487390632,"160.06407"
"160.96150",0.00513641262494511,-0.0196601265368502,"160.96150"
"161.99656",0.00514309510160184,-0.013306998464188,"161.99656"
"162.02847",0.0118837175897224,-0.0231410041902515,"162.02847"
"162.05153",0.00435855174955044,-0.00656530731744921,"162.05153"
"162.98450",0.0118624218537331,-0.0112501805806742,"162.98450"
"163.03893",0.00116064963401133,-0.0119743277814808,"163.03893"
"163.11403",0.0110319432431104,-0.00459901128965436,"163.11403"
"164.95737",0.0168742620914938,-0.0337500901104019,"164.95737"
"165.01573",0.0074667642629674,-0.0013752287868342,"165.01573"
"165.07313",0.00654508002310996,-0.0238431420007645,"165.07313"
"166.02014",0.00160579226331326,-0.0679922306812357,"166.02014"
"166.04904",0.0171637636506937,-0.0291965877438729,"166.04904"
"167.02308",0.0409321799530215,-0.104358401739256,"167.02308"
"167.11065",0.0190492453289589,-0.0124772143858696,"167.11065"
"167.99560",-0.00669360882968033,-0.00700610810401069,"167.99560"
"168.04541",0.014114322764437,-0.0642341518919151,"168.04541"
"168.99251",0.0179821667064932,-0.0381378015366075,"168.99251"
"169.99249",0.00674661225068836,-0.01217099783958,"169.99249"
"170.04493",-0.00110049154395901,-0.0203168202083242,"170.04493"
"171.00839",0.0251333296881737,-0.121398881798689,"171.00839"
"171.06670",0.00790565878793884,-0.00837788591228677,"171.06670"
"171.10452",0.0344184950653125,0.00761760646572206,"171.10452"
"172.00573",0.0144474291235602,-0.0309837342925487,"172.00573"
"172.10645",0.0063544968048775,0.00104371712754477,"172.10645"
"172.90100",0.0219490139999056,-0.0278931447103345,"172.90100"
"173.09168",0.0115330591555685,-0.0181878892571109,"173.09168"
"173.11980",0.0130642502624293,-0.00260445168622145,"173.11980"
"174.02226",0.0172182250140773,-0.0445731572195288,"174.02226"
"175.02712",0.067573785891997,-0.141218583502133,"175.02712"
"175.07321",0.00797805547268435,-0.0242488500498779,"175.07321"
"176.93848",0.00914012156903263,-0.0257804301799567,"176.93848"
"177.03904",0.0283994907543391,-0.0687778619407681,"177.03904"
"178.01910",0.0148855900085509,-0.0114351446247123,"178.01910"
"178.97482",0.0236191574814367,-0.0306247489731662,"178.97482"
"179.01102",0.0113908674863926,-0.00897613452496406,"179.01102"
"179.05761",0.0915722655827451,-0.055221251096815,"179.05761"
"179.10810",0.0154120698704185,0.00226283167924361,"179.10810"
"180.04065",0.0120350177771037,-0.0270119820112983,"180.04065"
"181.12550",0.0160546460694472,-0.000835203737222343,"181.12550"
"181.96855",0.0184260606133137,-0.00752815257708762,"181.96855"
"182.05780",0.0182227489323381,-0.0272396423720917,"182.05780"
"183.00374",0.0133876969492763,-0.00979325625167376,"183.00374"
"184.00390",0.0084797487118865,-0.0302796951599866,"184.00390"
"185.04663",0.00165874548202403,-0.00887748485632476,"185.04663"
"185.08414",0.0175446630373341,-0.00888858128813174,"185.08414"
"186.04712",0.00765976123137249,-0.0164470984983846,"186.04712"
"187.04491",-0.00811781800725592,-0.0175490045213259,"187.04491"
"187.07490",-0.00286071566840728,-0.052409723172426,"187.07490"
"188.06290",0.00452756036640951,-0.0135205902270883,"188.06290"
"188.09403",0.0154173751123941,-0.0222905437173033,"188.09403"
"188.98628",0.0151436960385538,-0.022238712475007,"188.98628"
"189.05924",-0.00386775146693145,-0.00290455076313181,"189.05924"
"189.08779",0.0107831390452354,-0.0202487941336145,"189.08779"
